,model_name,mAP,true_positive,false_positive,found,fps,error
0,faster_rcnn_inception_v2_coco,80.34,4015,855,4870,0.993388075197358,0.5937106918238994
1,yolov3,78.62,4017,777,4794,0.9,0.36477987421383645
2,ssd_mobilenet_v1_coco,53.56,2847,622,3469,12.194020882390484,1.59874213836478
3,ssd_mobilenet_v2_coco,61.2,3240,574,3814,9.074641683497118,1.1622641509433962
4,ssd_inception_v2_coco,64.76,3318,567,3885,5.689047610363402,1.139622641509434
5,ssdlite_mobilenet_v2_coco,60.26,3236,725,3961,12.410751101369385,1.0377358490566038
6,ssd_mobilenet_v1_0.75_depth_coco,62.57,3494,2418,5912,16.254624094324054,1.808805031446541
7,ssd_mobilenet_docker,56.19,2996,656,3652,10.657425002421368,1.3383647798742138
8,ssd_mobilenet_v1_ppn_coco,55.95,3128,1263,4391,13.260323930308266,1.0
9,yolov3_tiny,0.38,297,4866,5163,7.1428,0.9773584905660377
